ProductReference,Avg_CostImpact_Product (ProdRef),UnresolvedRate_Product (ProdRef),Total_Incidents_Product (ProdRef)
PRD00178,1210.0,0.0,2
PRD00179,678.5,1.0,2
PRD00180,637.5,0.0,1
PRD00181,153.75,0.0,1
PRD00182,350.0,0.0,1
PRD00183,685.6666666666666,0.0,3
PRD00184,353.3333333333333,0.0,3
PRD00186,1798.0,1.0,1
PRD00187,350.0,0.0,1
PRD00188,400.0,0.0,1
PRD00189,87.0,0.0,1
PRD00190,393.0,0.0,1
PRD00191,329.5,0.0,2
PRD00192,443.0,0.0,1
PRD00194,499.375,0.0,2
PRD00196,642.5,0.0,1
PRD00197,719.375,0.0,4
PRD00200,323.0,0.0,1
PRD00202,271.0,0.0,2
PRD00203,424.0,0.0,1
PRD00204,419.0,0.0,2
PRD00205,184.0,0.0,1
PRD00206,271.25,0.0,4
PRD00207,311.0,0.0,2
PRD00208,114.0,0.0,1
PRD00209,286.0,0.25,4
PRD00210,413.0,0.0,1
PRD00211,449.6666666666667,0.0,3
PRD00212,908.0,0.0,1
PRD00213,1781.0,0.0,1
PRD00215,1442.0833333333333,0.0,3
PRD00216,291.0,0.0,3
PRD00217,1208.5,0.0,2
PRD00218,353.0,0.0,1
PRD00219,679.0,0.0,1
PRD00220,467.0,0.0,1
PRD00221,1456.25,0.0,2
PRD00222,564.1666666666666,0.0,3
PRD00223,289.6666666666667,0.0,3
PRD00224,376.5,0.25,4
PRD00225,312.0,0.0,1
PRD00228,258.0,0.0,2
PRD00229,331.0,0.0,1
PRD00230,1406.0,0.5,2
PRD00231,334.0,0.0,1
PRD00233,297.5,0.0,2
PRD00234,373.5,0.5,2
PRD00236,335.0,0.0,3
PRD00237,588.5,0.0,2
PRD00238,431.0,0.0,1
PRD00239,1904.3333333333333,0.0,3
PRD00240,224.0,0.0,2
PRD00241,445.0,0.25,4
PRD00242,57.0,0.0,1
PRD00244,1508.0,0.0,1
PRD00245,414.0,1.0,1
PRD00246,270.0,0.0,1
PRD00247,874.75,0.0,4
PRD00248,179.33333333333334,0.0,3
PRD00249,321.0,0.5,2
PRD00250,349.6666666666667,0.0,3
PRD00251,372.9166666666667,0.0,3
PRD00253,105.0,0.0,1
PRD00255,242.0,0.0,2
PRD00256,377.5,0.25,4
PRD00257,827.0,0.0,1
PRD00258,599.0,0.0,1
PRD00259,216.25,0.0,1
PRD00260,374.5,0.0,2
PRD00261,1594.0625,0.25,4
PRD00262,1432.5,0.0,1
PRD00263,373.25,0.4,5
PRD00264,1276.5,0.0,2
PRD00265,368.0,0.0,2
PRD00266,1173.3333333333333,0.0,3
PRD00267,1706.0,0.0,1
PRD00268,1368.6666666666667,0.3333333333333333,3
PRD00269,338.0,1.0,1
PRD00270,208.0,0.0,1
PRD00271,310.0,0.0,1
PRD00274,326.3333333333333,0.0,3
PRD00275,354.375,0.0,2
PRD00276,249.66666666666666,0.0,3
PRD00278,888.0,0.0,1
PRD00279,1267.2,0.0,5
PRD00280,247.5,0.0,2
PRD00281,241.0,0.0,4
PRD00284,315.0,0.0,3
PRD00285,558.0,0.0,1
PRD00286,421.0,1.0,1
PRD00287,127.0,0.0,1
PRD00288,201.25,0.25,4
PRD00289,217.0,0.0,3
PRD00291,151.5,0.0,2
PRD00293,286.0,0.0,1
PRD00294,1489.375,0.0,2
PRD00297,352.9166666666667,0.0,3
PRD00298,195.0,0.0,1
PRD00299,281.0,0.0,1
PRD00300,367.5,0.0,2
PRD00301,411.5416666666667,0.16666666666666666,6
PRD00303,282.0,0.0,1
PRD00304,985.5,0.0,2
PRD00306,1541.25,0.0,2
PRD00307,475.625,0.0,2
PRD00308,385.5,0.5,2
PRD00309,463.75,0.0,5
PRD00310,265.5,0.0,4
PRD00311,375.5,0.0,2
PRD00312,449.0,0.0,1
PRD00314,162.0,1.0,1
PRD00315,525.0,0.0,1
PRD00316,1929.0,0.0,1
PRD00317,772.25,0.25,4
PRD00318,266.5,0.0,2
PRD00319,568.75,0.0,1
PRD00320,694.0,0.0,2
PRD00321,369.0,0.0,1
PRD00322,1183.5,0.0,2
PRD00323,886.0,0.0,1
PRD00324,391.0,0.0,1
PRD00325,349.0,0.0,1
PRD00326,1236.0,0.0,1
PRD00327,237.33333333333334,0.0,3
PRD00328,1030.0,0.0,3
PRD00330,473.5,0.0,5
PRD00331,610.0,0.3333333333333333,3
PRD00333,359.6,0.4,5
PRD00334,310.0,0.0,1
PRD00335,221.0,0.0,1
PRD00337,334.0,0.25,4
PRD00338,1190.3333333333333,0.0,3
PRD00339,96.0,0.0,1
PRD00340,381.6666666666667,0.0,3
PRD00341,302.6666666666667,0.0,3
PRD00342,277.0,0.0,1
PRD00343,244.0,0.0,1
PRD00344,1836.25,0.0,1
PRD00345,295.3125,0.25,4
PRD00346,597.0,0.0,2
PRD00347,875.0,1.0,1
PRD00349,136.0,0.0,1
PRD00350,1187.5,0.5,2
PRD00352,390.625,0.0,2
PRD00353,877.5,0.0,2
PRD00354,279.0,0.0,3
PRD00355,350.8,0.0,5
PRD00356,1367.0,0.0,1
PRD00357,268.0,0.0,1
PRD00358,269.0,0.0,1
PRD00359,578.0,0.0,1
PRD00360,266.6666666666667,0.0,3
PRD00361,596.25,0.0,1
PRD00362,574.375,0.0,2
PRD00363,1186.0,0.0,2
PRD00364,541.25,0.0,3
PRD00365,241.0,0.3333333333333333,3
PRD00366,1369.4,0.4,5
PRD00367,345.0,0.0,4
PRD00368,247.5,0.0,2
PRD00369,343.0,0.0,2
PRD00370,154.0,1.0,1
PRD00371,347.0,0.0,4
PRD00372,457.5,0.0,2
PRD00373,183.0,0.0,1
PRD00374,1249.0,0.0,3
PRD00375,400.4,0.0,5
PRD00376,644.5,0.5,2
PRD00377,274.0,0.0,1
PRD00378,158.0,0.0,1
PRD00379,172.5,0.0,2
PRD00381,391.0,0.0,2
PRD00382,1265.0,0.0,3
PRD00384,516.25,0.0,2
PRD00385,293.75,0.0,2
PRD00386,286.6,0.0,5
PRD00387,344.6666666666667,0.0,3
PRD00388,260.0,0.0,1
PRD00389,474.5833333333333,0.3333333333333333,3
PRD00390,358.75,0.0,2
PRD00391,466.875,0.0,2
PRD00392,822.6666666666666,0.0,3
PRD00393,394.5,0.25,4
PRD00394,296.0,0.0,2
PRD00395,316.5,0.0,2
PRD00396,488.125,0.0,2
PRD00397,157.66666666666666,0.3333333333333333,3
PRD00398,335.0,0.0,1
PRD00399,386.0,0.0,1
PRD00402,302.0,0.0,2
PRD00403,396.0,1.0,1
PRD00404,383.5,0.0,2
PRD00407,1121.5,0.5,2
PRD00410,359.0,0.0,1
PRD00411,262.6666666666667,0.0,3
PRD00412,449.0,0.0,3
PRD00413,268.0,0.3333333333333333,3
PRD00415,1293.0,0.25,4
PRD00417,662.5,0.0,1
PRD00418,853.5,0.0,2
PRD00420,352.5,0.0,2
PRD00421,139.0,0.0,1
PRD00422,288.8,0.2,5
PRD00423,131.0,0.0,1
PRD00424,141.5,0.5,2
PRD00427,899.3333333333334,0.0,3
PRD00428,381.0,0.0,1
PRD00429,95.0,0.0,1
PRD00430,319.0,0.0,1
PRD00431,163.0,0.0,1
PRD00433,327.0,0.0,1
PRD00434,310.3333333333333,0.0,3
PRD00435,246.25,0.5,2
PRD00436,909.0,0.0,2
PRD00437,208.0,0.0,2
PRD00438,278.3333333333333,0.0,3
PRD00440,196.0,0.3333333333333333,3
PRD00441,406.25,0.0,4
PRD00442,1310.8,0.0,5
PRD00444,1230.5,0.0,2
PRD00446,378.75,0.0,1
PRD00447,1355.0,0.2,5
PRD00448,636.875,0.0,2
PRD00449,459.0,0.0,3
PRD00451,594.375,0.0,2
PRD00452,471.6666666666667,0.3333333333333333,3
PRD00454,515.0,0.0,2
PRD00455,347.0,0.0,3
PRD00456,1191.0,0.0,1
PRD00457,325.3333333333333,0.0,6
PRD00459,139.5,0.0,2
PRD00460,297.3333333333333,0.0,3
PRD00462,1709.5,0.0,2
PRD00464,362.5,0.0,3
PRD00466,502.5,0.0,2
PRD00467,329.2,0.2,5
PRD00468,351.0,0.0,1
PRD00469,395.0,0.0,1
PRD00470,76.0,0.0,1
PRD00472,348.4375,0.0,4
PRD00473,297.0,0.0,2
PRD00474,330.0,0.0,1
PRD00477,264.3333333333333,0.0,3
PRD00478,635.3333333333334,0.0,3
PRD00479,162.0,1.0,1
PRD00480,324.5,0.5,2
PRD00481,720.0,0.0,1
PRD00482,1413.5,0.2,5
PRD00483,250.5,0.5,2
PRD00484,1137.0,0.5,2
PRD00485,199.0,0.0,1
PRD00490,443.0,0.0,2
PRD00492,1276.0,0.25,4
PRD00493,126.0,0.0,1
PRD00494,361.0,0.0,1
PRD00496,660.3333333333334,0.0,3
PRD00498,260.0,0.0,3
PRD00499,1313.0,0.0,1
PRD00500,658.0,0.0,1
PRD00501,1534.0,0.0,1
PRD00502,193.0,0.0,1
PRD00503,553.75,0.0,1
PRD00504,314.0,0.0,2
PRD00505,1360.0,0.0,2
PRD00506,474.0,0.0,1
PRD00507,286.0,0.0,2
PRD00508,225.8,0.2,5
PRD00509,500.0,1.0,1
PRD00511,639.0,0.0,1
PRD00512,1714.0,0.0,1
PRD00513,364.5,0.0,4
PRD00514,233.0,0.0,2
PRD00515,205.0,0.0,1
PRD00516,360.75,0.25,4
PRD00517,1532.0,0.0,1
PRD00518,364.0,0.0,1
PRD00519,1589.375,0.0,4
PRD00520,282.8125,0.0,4
PRD00521,516.5,0.0,2
PRD00522,1378.75,0.0,2
PRD00523,422.5,0.0,3
PRD00524,375.25,0.5,4
PRD00525,304.0,0.0,2
PRD00526,308.0,0.0,1
PRD00527,297.3333333333333,0.3333333333333333,3
PRD00528,222.5,0.0,4
PRD00529,666.25,0.0,1
PRD00530,234.0,0.0,2
PRD00531,303.75,0.0,1
PRD00532,1120.0,0.0,1
PRD00533,1570.5,0.0,2
PRD00534,736.5,0.0,2
PRD00535,221.66666666666666,0.0,6
PRD00536,292.0,0.0,1
PRD00537,198.33333333333334,0.6666666666666666,3
PRD00538,265.0,0.0,2
PRD00539,1103.0,0.0,1
PRD00540,274.5,0.0,2
PRD00541,247.0,0.0,1
PRD00543,437.5,0.3333333333333333,3
PRD00544,1124.0,0.0,1
PRD00545,2417.5,0.0,1
PRD00546,461.0,0.0,3
PRD00548,195.0,0.0,1
PRD00551,981.6666666666666,0.0,3
PRD00552,432.5,0.5,2
PRD00553,430.6666666666667,0.0,3
PRD00554,578.3333333333334,0.0,3
PRD00555,532.5,0.0,1
PRD00556,1410.0,0.0,1
PRD00557,583.5,0.0,2
PRD00558,364.5833333333333,0.0,6
PRD00559,650.6666666666666,0.0,3
PRD00560,1484.0,0.0,2
PRD00561,1164.3333333333333,0.5,6
PRD00562,441.5,0.0,2
PRD00563,292.3333333333333,0.3333333333333333,3
PRD00565,1013.0,0.0,3
PRD00567,1302.0833333333333,0.0,3
PRD00568,170.33333333333334,0.0,3
PRD00569,508.125,0.5,2
PRD00571,195.0,0.0,4
PRD00572,203.5,0.0,4
PRD00573,205.0,0.0,1
PRD00574,1043.0,0.0,1
PRD00575,480.0,0.0,3
PRD00577,247.5,0.0,2
PRD00578,678.75,0.0,1
PRD00579,137.5,1.0,2
PRD00580,280.0,0.0,1
PRD00581,137.0,0.0,1
PRD00583,345.0,0.0,1
PRD00584,424.75,0.0,4
PRD00585,527.5,0.25,4
PRD00586,695.0,0.5,2
PRD00587,267.3333333333333,0.0,3
PRD00588,713.9166666666666,0.3333333333333333,3
PRD00589,391.0,0.0,1
PRD00590,364.25,0.0,4
PRD00591,480.0,0.0,1
PRD00593,470.0,0.0,1
PRD00594,309.0,0.0,1
PRD00595,351.25,0.3333333333333333,3
PRD00598,221.66666666666666,0.3333333333333333,3
PRD00599,388.0,0.3333333333333333,3
PRD00600,318.0,0.0,1
PRD00602,522.25,0.0,4
PRD00603,381.25,0.5,2
PRD00604,608.75,0.0,1
PRD00605,326.6666666666667,0.3333333333333333,3
PRD00607,394.0,0.0,1
PRD00608,251.875,0.0,2
PRD00609,761.25,0.0,6
PRD00610,684.375,0.0,2
PRD00613,1244.3333333333333,0.0,3
PRD00614,364.0,0.0,1
PRD00616,142.0,0.3333333333333333,3
PRD00617,554.375,0.0,2
PRD00618,458.75,0.0,3
PRD00619,462.0,0.0,1
PRD00620,1585.0,0.0,1
PRD00621,325.0,0.0,2
PRD00622,208.33333333333334,0.0,3
PRD00623,1544.0,0.0,1
PRD00624,505.8333333333333,0.3333333333333333,3
PRD00627,301.0,0.3333333333333333,3
PRD00628,167.0,0.0,1
PRD00629,162.0,0.0,1
PRD00630,299.0,0.0,1
PRD00631,1031.0,0.0,1
PRD00632,284.375,0.5,2
PRD00633,204.2,0.4,5
PRD00634,335.0,0.0,4
PRD00635,250.33333333333334,0.0,3
PRD00636,1299.0,0.0,2
PRD00637,652.5,0.16666666666666666,6
PRD00639,638.5,0.0,2
PRD00640,248.0,0.3333333333333333,3
PRD00641,261.5,0.0,2
PRD00642,283.125,0.0,2
PRD00643,563.5,0.0,4
PRD00644,218.5,0.0,2
PRD00645,418.0,0.0,1
PRD00646,338.0,0.0,2
PRD00647,438.75,0.0,1
PRD00649,242.0,0.0,2
PRD00651,291.4,0.0,5
PRD00652,647.5,0.0,2
PRD00653,710.0,1.0,1
PRD00654,101.0,0.0,1
PRD00655,609.5,0.0,2
PRD00656,349.0,0.0,2
PRD00657,142.0,0.0,1
PRD00658,1924.0,0.0,1
PRD00659,1220.0,0.0,1
PRD00660,308.0,0.0,1
PRD00661,286.5,0.0,2
PRD00662,302.0,0.0,1
PRD00665,442.6666666666667,0.0,3
PRD00667,94.0,0.0,1
PRD00668,246.0,0.5,2
PRD00670,495.3333333333333,0.0,3
PRD00671,342.5,0.0,2
PRD00672,287.0,0.0,1
PRD00673,259.0,0.0,2
PRD00674,242.0,0.5,2
PRD00676,1124.5,0.0,2
PRD00677,479.6875,0.0,4
PRD00678,190.0,0.0,1
PRD00680,502.3333333333333,0.0,3
PRD00682,166.0,0.0,1
PRD00684,1338.75,0.6666666666666666,3
PRD00685,227.0,0.5,2
PRD00686,265.0,1.0,1
PRD00687,543.6666666666666,0.3333333333333333,3
PRD00688,270.0,0.0,2
PRD00691,635.0,0.0,1
PRD00692,1139.2,0.6,5
PRD00693,771.0,0.0,2
PRD00694,569.0,0.0,3
PRD00695,505.625,0.5,2
PRD00696,1617.0,0.0,1
PRD00697,701.3333333333334,0.3333333333333333,3
PRD00698,1036.0,0.0,1
PRD00699,380.8333333333333,0.6666666666666666,3
PRD00700,121.0,0.0,1
PRD00701,317.75,0.5,4
PRD00702,328.3333333333333,0.0,3
PRD00703,530.6666666666666,0.6666666666666666,3
PRD00704,271.0,0.0,1
PRD00705,409.0,0.0,1
PRD00706,379.0,0.0,2
PRD00707,276.0,0.0,2
PRD00708,153.0,0.0,1
PRD00709,382.5,1.0,1
PRD00710,1147.5,0.5,4
PRD00711,394.0,0.0,1
PRD00712,173.5,0.0,2
PRD00713,109.0,0.0,2
PRD00714,248.33333333333334,0.0,3
PRD00715,325.5,0.0,2
PRD00716,460.5,0.0,4
PRD00717,237.0,0.0,1
PRD00718,224.66666666666666,0.6666666666666666,3
PRD00720,616.5,0.5,4
PRD00721,703.75,0.0,1
PRD00722,345.0,0.0,1
PRD00723,357.0,0.0,1
PRD00724,524.5833333333334,0.3333333333333333,3
PRD00725,243.33333333333334,0.3333333333333333,3
PRD00727,377.5,0.0,2
PRD00729,1488.0,0.0,1
PRD00730,311.0,0.0,1
PRD00731,380.5,0.5,2
PRD00732,177.5,0.0,1
PRD00733,160.0,0.0,1
PRD00734,517.0,0.4,5
PRD00735,227.0,0.0,2
PRD00736,265.0,0.0,2
PRD00738,436.0,0.0,2
PRD00739,652.5,0.0,2
PRD00740,320.0,0.0,6
PRD00741,338.0,0.0,4
PRD00744,640.5,0.0,2
PRD00746,437.0,0.0,3
PRD00747,1260.0,0.0,1
PRD00748,455.4166666666667,0.3333333333333333,3
PRD00749,431.0,0.0,1
PRD00752,379.0,0.5,2
PRD00754,372.9166666666667,0.0,3
PRD00755,282.6666666666667,0.0,3
PRD00756,225.0,0.0,1
PRD00757,462.0,0.0,2
PRD00758,335.0,0.0,1
PRD00759,470.0,0.0,1
PRD00761,422.0,0.0,1
PRD00762,773.3333333333334,0.0,3
PRD00763,403.4375,0.0,4
PRD00764,1179.5,0.0,4
PRD00766,856.0,0.0,2
PRD00767,289.0,0.0,1
PRD00769,368.5,0.0,4
PRD00770,323.6666666666667,0.3333333333333333,3
PRD00771,425.0,0.0,1
PRD00772,600.0,0.0,1
PRD00773,272.0,0.25,4
PRD00774,187.0,0.0,1
PRD00775,160.0,0.0,1
PRD00776,168.0,0.0,1
PRD00777,888.0,0.0,2
PRD00779,315.5,0.5,2
PRD00780,1737.0,0.0,2
PRD00781,1033.0,0.5,2
PRD00782,165.0,0.0,1
PRD00783,360.8333333333333,0.0,3
PRD00784,631.25,0.0,1
PRD00786,356.5,0.0,2
PRD00787,200.0,0.0,2
PRD00788,366.0,0.0,1
PRD00789,240.0,0.0,1
PRD00791,202.0,0.0,1
PRD00794,627.25,0.25,4
PRD00795,357.0,0.5,2
PRD00796,229.0,0.0,2
PRD00797,415.6666666666667,0.3333333333333333,3
PRD00798,157.5,0.0,2
PRD00799,1806.5,0.0,2
PRD00800,323.3333333333333,0.0,3
PRD00801,1140.0,0.3333333333333333,3
PRD00802,421.0,1.0,1
PRD00803,345.3333333333333,0.0,3
PRD00805,1157.5,0.0,4
PRD00806,824.0,0.0,1
PRD00807,252.0,0.0,4
PRD00808,299.0,0.0,1
PRD00809,339.0,0.0,1
PRD00810,294.0,0.0,1
PRD00811,140.0,0.0,1
PRD00812,124.0,0.0,1
PRD00813,198.0,0.0,2
PRD00817,596.5625,0.0,4
PRD00819,356.5,0.0,2
PRD00820,1016.0,0.0,1
PRD00821,359.0,0.0,1
PRD00822,425.0,0.0,1
PRD00823,333.0,0.0,2
PRD00824,327.0,0.0,1
PRD00825,615.0,0.0,1
PRD00827,1301.0,0.0,1
PRD00828,455.4166666666667,0.0,3
PRD00829,396.25,0.0,6
PRD00830,291.5,0.0,2
PRD00831,188.0,0.0,5
PRD00832,214.0,0.0,2
PRD00833,294.0,0.0,2
PRD00834,212.0,0.0,1
PRD00835,333.0,0.0,1
PRD00836,466.5,0.5,2
PRD00838,609.375,0.5,2
PRD00839,677.0833333333334,0.0,3
PRD00840,178.66666666666666,0.3333333333333333,3
PRD00841,256.25,0.0,1
PRD00845,152.0,0.0,1
PRD00847,343.5,0.5,2
PRD00848,974.0625,0.25,4
PRD00849,1637.5,0.0,2
PRD00850,150.0,0.0,3
PRD00851,219.0,0.2,5
PRD00852,721.6666666666666,0.0,3
PRD00853,232.0,0.0,1
PRD00854,376.0,0.0,2
PRD00855,114.5,0.0,2
PRD00856,343.0,0.5,2
PRD00857,342.8125,0.0,4
PRD00858,179.66666666666666,0.0,3
PRD00859,1059.0,0.0,1
PRD00860,226.0,0.0,1
PRD00861,163.0,1.0,1
PRD00862,244.0,0.0,1
PRD00863,105.0,0.0,2
PRD00864,1211.0,0.0,1
PRD00865,655.0,0.3333333333333333,3
PRD00866,334.5,0.0,2
PRD00867,334.25,0.25,4
PRD00868,237.0,0.0,1
PRD00869,204.0,0.0,1
PRD00871,1999.0,0.0,1
PRD00872,65.0,0.0,1
PRD00873,892.5,0.0,2
PRD00874,185.0,0.0,1
PRD00875,522.0833333333334,0.0,3
PRD00877,1175.0,0.0,3
PRD00878,956.0,0.0,2
PRD00879,460.0,0.0,3
PRD00881,250.33333333333334,0.3333333333333333,3
PRD00882,1002.0,0.0,2
PRD00884,426.3333333333333,0.0,3
PRD00885,483.0,0.0,1
PRD00886,558.3333333333334,0.0,3
PRD00887,517.0,0.0,1
PRD00889,484.0,0.0,1
PRD00890,510.6666666666667,0.0,3
PRD00891,617.5,0.0,3
PRD00892,245.5,0.0,4
PRD00893,400.5,1.0,2
PRD00894,738.5,0.0,2
PRD00895,276.0,0.0,1
PRD00896,346.0,1.0,1
PRD00897,216.25,0.25,4
PRD00898,163.0,0.0,1
PRD00899,350.5,0.0,2
PRD00902,352.3333333333333,0.0,3
PRD00903,423.0,0.0,1
PRD00904,590.0,0.0,1
PRD00905,847.0,0.0,1
PRD00906,326.0,0.3333333333333333,3
PRD00907,383.0,0.0,3
PRD00909,193.0,0.0,1
PRD00910,230.0,0.0,1
PRD00911,501.0,0.0,1
PRD00912,345.0,1.0,1
PRD00913,1447.0,0.0,2
PRD00915,624.375,0.0,2
PRD00916,462.5,0.0,2
PRD00917,656.0,0.0,3
PRD00918,1448.0,1.0,1
PRD00919,271.5,0.0,2
PRD00921,417.5,0.5,2
PRD00922,490.3333333333333,0.0,3
PRD00923,158.0,0.0,1
PRD00924,325.3333333333333,0.0,3
PRD00925,136.0,0.0,1
PRD00926,221.0,0.0,2
PRD00927,1160.5,0.0,2
PRD00928,365.0,0.0,1
PRD00929,95.0,0.0,1
PRD00930,715.0,0.0,1
PRD00931,567.5,0.0,1
PRD00933,100.0,1.0,1
PRD00934,324.0,0.0,1
PRD00935,340.0,1.0,1
PRD00936,266.0,0.0,1
PRD00937,685.0,0.0,1
PRD00939,287.6666666666667,0.0,3
PRD00941,171.25,0.0,4
PRD00942,618.75,0.0,1
PRD00943,1502.6666666666667,0.6666666666666666,3
PRD00944,276.0,0.0,2
PRD00945,116.0,0.0,1
PRD00946,280.4166666666667,0.0,3
PRD00947,255.0,0.0,1
PRD00949,315.25,0.0,4
PRD00950,179.0,1.0,1
PRD00951,149.5,0.5,2
PRD00952,1654.5,0.0,2
PRD00953,497.0,0.0,1
PRD00956,599.1666666666666,0.0,3
PRD00957,697.0,0.0,1
PRD00958,393.75,0.0,1
PRD00959,222.0,0.0,1
PRD00960,304.125,0.0,2
PRD00961,329.5,0.0,4
PRD00962,159.66666666666666,0.0,3
PRD00963,241.0,0.25,4
PRD00964,591.6666666666666,0.0,3
PRD00965,267.5,0.0,2
PRD00966,396.0,0.0,1
PRD00967,1470.3333333333333,0.0,3
PRD00968,430.25,0.75,4
PRD00969,554.1666666666666,0.3333333333333333,3
PRD00970,236.0,0.0,3
PRD00972,323.0,0.0,1
PRD00973,1322.0,0.0,1
PRD00974,345.9375,0.25,4
PRD00975,303.4166666666667,0.3333333333333333,3
PRD00976,271.0,0.0,1
